name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Barcelona,1974-01-01,10,0.1,6.4,74.8,264.076,100,4.17,rain,,,Partly cloudy throughout the day with morning rain.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-02,10,4,6.5,75.8,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-03,11.4,-0.9,5.9,80.2,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-04,12.9,3.9,7.4,76.1,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-05,13,3.1,8.2,80.4,0,0,0,,,,Partly cloudy throughout the day.,"08184099999,08181099999",obs
Barcelona,1974-01-06,15,10,11.9,67.9,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-07,16,6.1,11.8,79.8,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-08,15.1,8.9,11.7,86.6,0.971,100,4.17,rain,,,Partly cloudy throughout the day with early morning rain.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-09,16.9,8.1,12.3,69.3,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-10,14.1,7.8,10.1,69.1,0,0,0,,,,Partly cloudy throughout the day.,"08184099999,08181099999",obs
Barcelona,1974-01-11,17,3.1,9.8,83.5,0,0,0,,,,Partly cloudy throughout the day.,"08182099999,08184099999,08181099999",obs
Barcelona,1974-01-12,18.1,7,11,88.4,0,0,0,,,,Partly cloudy throughout the day.,"08184099999,08181099999",obs
Barcelona,1974-01-13,15,8,10.7,85,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-14,14.1,5.9,9.3,84.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-15,16.1,6,10,88,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-16,18.5,6.9,10.7,85.9,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-17,14.1,7,10.4,78.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-18,13,4.9,8,75.9,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-19,14.9,1.1,7.8,75.5,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-20,13.1,2.9,8.1,75.4,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-21,13.1,3.9,7.8,82.3,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-22,13,1.1,7.1,84.8,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-23,13.3,3.1,7.4,79.1,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-24,14.1,-0.9,7.9,73.6,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-25,14,2.9,8.1,74,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-26,13,3.1,8.5,73.5,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-27,13.1,7,9.5,72.1,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-28,14,4,9.2,83,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-29,12.6,6.1,9.4,91.4,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-01-30,12,3.9,8.2,85.6,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-01-31,13.1,6.1,9.8,88.6,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-01,14.1,7.1,10,88,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-02,14,5,9,83.9,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-03,14.9,3.1,8.9,62.6,3.883,100,4.17,rain,,,Partly cloudy throughout the day with early morning rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-04,14.1,4.1,9.5,55.8,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-05,15.9,6.9,11.6,57.1,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-06,18.1,10.8,13.9,54.9,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-07,15,7.9,11.5,45.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-02-08,13.1,3.1,8.5,72.4,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-09,14.4,3.9,9.4,83.1,0,0,0,,,,Clear conditions throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-10,18.1,4.9,9.5,82,0,0,0,,,,Partly cloudy throughout the day.,"08184099999,08181099999",obs
Barcelona,1974-02-11,14.1,6.1,10.4,87,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-12,15,7,11.7,66.9,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-13,13.9,9,11.2,65.6,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-02-14,15,1.1,10.2,47.4,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-15,13,2.1,8.9,77.8,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-02-16,14.9,4.1,8.8,78.7,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-17,11.1,5,7.7,86.4,0.971,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"08184099999,08181099999",obs
Barcelona,1974-02-18,13,7.1,9.9,79.8,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-02-19,11.1,7.1,9.2,81.4,4.19,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-20,10.1,5.5,8.1,81.8,0.157,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-21,13.1,4.1,9,72.5,0.971,100,4.17,rain,,,Partly cloudy throughout the day with early morning rain.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-22,14.1,4,8.5,71.1,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-23,15.1,6,10.1,63.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-24,12.1,1.3,6.9,63.9,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-25,12.1,1.9,6.6,65.9,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-02-26,13,0.9,7.1,66.1,0,0,0,,,,Clear conditions throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-27,11.1,0.1,6.3,81.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-02-28,10.1,4.1,6.9,82.2,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-03-01,13.1,4.1,8.3,80.4,0,0,0,,,,Partly cloudy throughout the day.,"08184099999,08181099999",obs
Barcelona,1974-03-02,10.9,4.1,7.3,83.1,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08184099999,08181099999",obs
Barcelona,1974-03-03,11,6,8.4,79.5,0,0,0,,,,Partly cloudy throughout the day.,"08180099999,08182099999,08184099999,08181099999",obs
Barcelona,1974-03-04,10.8,1.1,6.1,74.3,0,0,0,,,,Partly cloudy throughout the day.,"08186099999,08180099999,08182099999,08184099999,08181099999",obs
