name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,source
Barcelona,1979-06-24,24.1,17.1,20.9,76.9,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-25,25.7,17.1,21,77.2,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-26,26.2,18.1,22.1,67.1,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-27,27.1,16.1,23.7,62.7,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-28,28.1,19,22.8,70.3,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-29,27.6,18,22.6,71.1,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-06-30,28.1,18.1,22.8,76.3,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-01,23.9,19,21.3,81.8,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-02,22.1,16.2,19.2,81.3,2,100,4.17,rain,,,Partly cloudy throughout the day with early morning rain.,obs
Barcelona,1979-07-03,23.1,17,20,66.6,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-04,25.1,17,21,74.8,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-05,25.1,16.1,20.8,70.8,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-06,28.6,15.9,22.2,63.4,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-07,26.7,18,22.7,57.1,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-08,28.2,18,23.3,70.7,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-09,27.7,17,22.6,75.2,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-10,31.6,17,23.8,66,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-11,30.1,21,24.8,63.3,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-12,27.9,20.1,24.3,72.9,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-13,26.7,19,23.1,74,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-14,27.1,19.1,22.6,72.2,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-15,27.7,17,22.2,70,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-16,27.7,17.1,23.1,80.1,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-17,27.9,20.7,23.9,74.6,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-18,30.1,19,24.2,68.6,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-19,28.9,20,23.9,76,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-20,28.9,20,23.6,75.5,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-21,27.9,20,23.7,77.1,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-22,28,19.1,23.1,78.5,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-23,27.6,19.1,22.8,79.5,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-24,27.1,20.1,23.3,74.9,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-25,27.9,18,23.1,78,0,0,0,,,,Becoming cloudy in the afternoon.,obs
Barcelona,1979-07-26,28.1,19,23.8,74.9,0,0,0,,,,Partly cloudy throughout the day.,obs
Barcelona,1979-07-27,32.4,19,25.3,69.2,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-28,31.6,19.1,25.4,71.2,0,0,0,,,,Clear conditions throughout the day.,obs
Barcelona,1979-07-29,31.4,19.1,25.8,64.9,0,0,0,,,,Clear conditions throughout the day.,obs
